,y
31172,0
12054,0
35393,0
44031,0
41652,0
3290,0
23420,0
44773,0
21091,0
28117,0
32806,0
5409,0
3317,0
21680,0
29486,0
24340,0
17636,0
9154,0
5741,1
32587,0
32962,0
11464,0
36252,0
44662,0
16404,0
21401,0
23597,0
4460,0
12989,0
37710,1
34646,0
36669,0
9330,0
8357,0
14661,0
5493,0
30528,0
4706,0
6345,0
22068,0
27721,0
42806,1
20043,0
35156,0
6465,0
25643,0
29548,0
40953,0
2210,0
41725,0
9956,0
7794,0
36188,0
43027,0
8980,0
43100,0
16371,0
29474,0
33627,0
43606,0
25543,0
19279,0
38240,0
33184,0
6060,0
24462,0
28540,0
18010,0
36642,0
13626,0
3662,0
22836,0
25929,0
24747,0
27135,0
18447,1
25078,0
32276,1
26028,1
3999,1
6221,0
9976,0
27024,1
17526,0
28404,0
5816,0
27693,0
41558,0
37986,0
7220,0
32010,0
33502,0
7544,0
29660,0
23966,0
12109,0
23680,0
9058,0
43341,1
2697,0
19225,0
37640,0
24291,0
45071,1
17052,0
18193,0
6386,0
5643,0
21313,0
39187,0
12449,0
36281,0
7022,0
36676,0
43963,0
7984,0
12222,0
459,0
10562,0
32630,0
30462,0
12949,0
7076,0
3083,0
42869,0
12923,0
27035,0
36540,0
2153,0
16744,0
6799,0
15116,0
22265,0
26014,0
3509,1
22822,0
14458,0
22328,0
25061,0
23601,0
45144,0
22846,1
11241,0
5329,0
13609,0
14611,0
34258,0
29914,0
13367,0
27353,0
3354,0
28654,0
7494,0
39651,1
30531,0
1149,0
22911,0
22334,0
20640,0
14790,0
32164,0
12186,0
1385,0
9549,0
5965,0
11369,0
27657,0
29176,0
27314,0
14370,0
29338,0
8931,0
32374,0
23531,0
12397,0
35681,0
9010,0
26117,0
30109,0
38410,0
31237,1
35201,0
12834,0
26994,0
14844,0
5072,0
20340,0
34924,0
8326,0
8226,0
26497,0
32046,1
3411,0
41953,1
44826,1
30397,0
6779,0
28308,0
11786,0
10372,0
35811,0
10514,0
7653,0
33427,0
42154,0
3512,0
5491,0
32905,0
29935,0
28782,0
15748,1
40373,1
1400,0
3120,0
35275,0
18097,0
22996,0
12620,0
41476,0
14352,0
35231,0
8239,0
11966,0
1143,0
41596,1
2320,0
41240,1
15339,0
12784,0
3123,0
29374,0
28075,0
6427,0
42346,0
12436,0
6578,0
33435,0
4307,0
4866,1
37981,0
38109,0
34242,0
29949,0
913,0
10281,0
44283,0
895,0
14768,0
9130,0
32089,1
673,0
12489,0
10092,0
1830,0
25131,0
15078,0
7243,0
28240,0
27959,0
16634,0
6596,0
22829,0
11858,0
34384,0
41350,0
38194,0
23536,0
37125,0
18241,0
436,0
29419,0
43139,1
32229,0
41109,0
37116,0
3922,0
35561,0
18921,0
28986,0
1274,0
13169,0
44550,1
38195,0
12540,0
27697,0
20551,0
22711,0
1351,0
1521,0
15524,0
37131,0
104,0
19209,0
18460,0
4826,0
31243,1
27207,0
43745,1
12984,0
4974,0
26819,0
42652,0
20193,0
35920,0
21912,0
26693,0
34489,0
29081,0
33871,1
29992,0
41956,1
3995,0
37834,0
31841,0
7211,0
8577,0
15513,0
42978,1
30349,0
42725,0
31501,0
22000,0
1494,0
8379,0
42718,1
38271,1
40876,1
10000,0
4273,0
43376,1
12046,0
4931,0
8972,0
9429,0
32048,0
27723,0
35927,0
3223,0
22857,0
40747,0
19372,0
34454,0
7358,0
34125,1
10022,0
40356,0
3612,0
29747,1
7176,0
11491,0
5332,0
36660,0
12070,0
42514,0
43777,1
462,0
26623,0
40889,1
16695,0
2084,0
8248,0
44039,1
5429,0
38748,0
35094,0
21240,0
14492,0
2318,0
353,0
4986,0
41865,1
3701,1
33058,0
39597,1
39543,0
996,0
28399,0
30203,0
39055,0
30975,0
30964,0
38465,0
7625,0
45166,1
4503,0
26908,0
14147,0
27027,0
31327,1
17523,0
16258,0
1100,0
2012,0
21517,0
21375,0
19397,0
21767,0
30100,0
3363,0
15111,0
20191,0
17401,0
38790,0
24887,0
25599,0
21497,0
15893,0
40736,0
11711,1
42770,0
37232,1
21676,0
8182,0
16158,0
5765,0
37205,0
31500,0
21337,0
43261,1
28730,0
24641,0
39837,0
28604,0
1281,0
12073,0
1163,0
27568,0
5635,0
26131,0
37007,0
32269,0
9255,0
13633,0
37452,0
9860,0
20851,0
6790,0
7389,0
2955,1
25985,0
22511,0
31804,0
30119,0
25294,0
38917,0
21284,0
15060,0
36010,0
38136,0
3702,1
6,0
32574,0
3273,0
8217,0
42197,1
10415,0
23494,0
28211,0
29120,0
41879,0
41473,1
33712,0
10033,0
44205,1
6638,0
29849,1
28596,0
29226,0
27020,0
40583,1
4746,0
12137,0
32976,0
39741,1
40161,0
31863,0
32566,0
38396,0
1103,0
35777,0
8557,0
41328,0
9900,1
783,0
31498,0
25555,1
31824,0
24974,0
2521,0
29631,0
12755,1
24187,0
21600,0
25619,0
6651,0
9780,0
5088,0
2933,0
7622,0
25353,0
40135,0
23027,0
19877,0
15657,0
44561,1
39175,0
32754,0
40381,0
6464,0
10492,0
1255,0
42950,1
35950,0
12969,0
28789,0
13831,1
39071,0
29237,0
20584,0
23933,0
2280,0
32055,1
12471,0
44000,0
13758,0
9706,0
5779,0
41698,0
25791,0
22426,0
27493,0
23537,0
14781,0
18929,0
12170,0
33073,0
18781,0
26527,0
20357,0
22245,0
8320,0
11686,0
